,cycle,producer,resistant,susceptible,growth_rate
499,499,3.9771440436e-08,4.125419997e-08,3.2858664519e-07,0.125
500,500,3.9771440436e-08,4.125419997e-08,3.2858664519e-07,0.125
499,499,3.9853789401e-08,4.133125468e-08,3.2842641802e-07,0.25
500,500,3.9853789401e-08,4.133125468e-08,3.2842641802e-07,0.25
299,299,4.0219802345e-08,4.1696579193e-08,3.2769142044e-07,0.5
300,300,4.0219802345e-08,4.1696579193e-08,3.2769142044e-07,0.5
299,299,4.0473551811e-08,4.1944785809e-08,3.2718692686e-07,0.75
300,300,4.0473551811e-08,4.1944785809e-08,3.2718692686e-07,0.75
299,299,3.9685026822e-08,4.1103124768e-08,3.2882499814e-07,1.0
300,300,3.9685026822e-08,4.1103124768e-08,3.2882499814e-07,1.0
